MOSAIC_UK_6_GROUP_NAME,MOSAIC_UK_6_TYPE_NAME
Rental Hubs,Bus-Route Renters
Suburban Stability,Family Ties
Transient Renters,Renting Rooms
Modest Traditions,Back with the Folks
Vintage Value,Estate Veterans
Transient Renters,Midlife Renters
Senior Security,Bungalow Haven
Aspiring Homemakers,Primary Ambitions
Family Basics,Families on a Budget
Modest Traditions,Back with the Folks
Aspiring Homemakers,Affordable Fringe
Vintage Value,Flatlet Seniors
Family Basics,Families on a Budget
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Affordable Fringe
Prestige Positions,Bank of Mum and Dad
Aspiring Homemakers,Affordable Fringe
Transient Renters,Midlife Renters
Aspiring Homemakers,First-Rung Futures
Suburban Stability,Boomerang Boarders
Family Basics,Economical Families
Transient Renters,Midlife Renters
Aspiring Homemakers,Flying Solo
Vintage Value,Pocket Pensions
Rental Hubs,Bus-Route Renters
Vintage Value,Estate Veterans
Transient Renters,Midlife Renters
Aspiring Homemakers,Contemporary Starts
Domestic Success,Thriving Independence
Modest Traditions,Self Supporters
Transient Renters,Midlife Renters
Aspiring Homemakers,Contemporary Starts
Transient Renters,Midlife Renters
Domestic Success,Mid-Career Convention
Prestige Positions,Empty-Nest Adventure
Prestige Positions,Bank of Mum and Dad
Aspiring Homemakers,Primary Ambitions
Domestic Success,Modern Parents
Transient Renters,Renting Rooms
Transient Renters,Midlife Renters
Modest Traditions,Self Supporters
Domestic Success,Modern Parents
Domestic Success,Mid-Career Convention
Transient Renters,Midlife Renters
Prestige Positions,Alpha Families
Aspiring Homemakers,Flying Solo
Suburban Stability,Family Ties
Prestige Positions,Empty-Nest Adventure
Prestige Positions,Empty-Nest Adventure
Domestic Success,Modern Parents
Prestige Positions,Alpha Families
Domestic Success,Mid-Career Convention
Domestic Success,Thriving Independence
Aspiring Homemakers,Contemporary Starts
Prestige Positions,Bank of Mum and Dad
Domestic Success,Thriving Independence
Senior Security,Classic Grandparents
Senior Security,Bungalow Haven
Suburban Stability,Boomerang Boarders
Aspiring Homemakers,First-Rung Futures
Suburban Stability,Dependable Me
Aspiring Homemakers,Contemporary Starts
Transient Renters,Midlife Renters
Rental Hubs,Bus-Route Renters
Modest Traditions,Back with the Folks
Modest Traditions,Self Supporters
Family Basics,Economical Families
Aspiring Homemakers,Primary Ambitions
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Primary Ambitions
Senior Security,Classic Grandparents
Domestic Success,Modern Parents
Modest Traditions,Self Supporters
Vintage Value,Seasoned Survivors
Transient Renters,Renting Rooms
Suburban Stability,Fledgling Free
Aspiring Homemakers,Primary Ambitions
Suburban Stability,Dependable Me
Senior Security,Classic Grandparents
Modest Traditions,Self Supporters
Senior Security,Classic Grandparents
Aspiring Homemakers,First-Rung Futures
Aspiring Homemakers,Affordable Fringe
Suburban Stability,Fledgling Free
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Flying Solo
Rental Hubs,Bus-Route Renters
Domestic Success,Modern Parents
Senior Security,Legacy Elders
Transient Renters,Midlife Renters
Aspiring Homemakers,First-Rung Futures
Senior Security,Solo Retirees
Suburban Stability,Dependable Me
Vintage Value,Seasoned Survivors
Suburban Stability,Family Ties
Domestic Success,Modern Parents
Domestic Success,Mid-Career Convention
Suburban Stability,Fledgling Free
Suburban Stability,Family Ties
Suburban Stability,Dependable Me
Senior Security,Bungalow Haven
Prestige Positions,Empty-Nest Adventure
Family Basics,Solid Economy
Vintage Value,Pocket Pensions
Prestige Positions,Empty-Nest Adventure
Domestic Success,Thriving Independence
Suburban Stability,Dependable Me
Domestic Success,Mid-Career Convention
Prestige Positions,Bank of Mum and Dad
Senior Security,Bungalow Haven
Family Basics,Budget Generations
Prestige Positions,Empty-Nest Adventure
Modest Traditions,Back with the Folks
Family Basics,Budget Generations
Vintage Value,Estate Veterans
Prestige Positions,Alpha Families
Senior Security,Bungalow Haven
Prestige Positions,Diamond Days
Senior Security,Bungalow Haven
Prestige Positions,Empty-Nest Adventure
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Contemporary Starts
Aspiring Homemakers,Affordable Fringe
Modest Traditions,Self Supporters
Modest Traditions,Back with the Folks
Senior Security,Bungalow Haven
Modest Traditions,Modest Traditions
Domestic Success,Modern Parents
Aspiring Homemakers,First-Rung Futures
Senior Security,Classic Grandparents
Family Basics,Economical Families
Domestic Success,Modern Parents
Vintage Value,Flatlet Seniors
Aspiring Homemakers,Affordable Fringe
Prestige Positions,Empty-Nest Adventure
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Affordable Fringe
Aspiring Homemakers,Affordable Fringe
Domestic Success,Modern Parents
Aspiring Homemakers,Flying Solo
Aspiring Homemakers,Affordable Fringe
Family Basics,Families on a Budget
Family Basics,Solid Economy
Suburban Stability,Dependable Me
Aspiring Homemakers,Primary Ambitions
Suburban Stability,Fledgling Free
Suburban Stability,Dependable Me
Aspiring Homemakers,Primary Ambitions
Family Basics,Families on a Budget
Family Basics,Economical Families
Family Basics,Economical Families
Senior Security,Classic Grandparents
Senior Security,Solo Retirees
Senior Security,Solo Retirees
Senior Security,Classic Grandparents
Transient Renters,Midlife Renters
Domestic Success,Modern Parents
Transient Renters,Midlife Renters
Rental Hubs,Bus-Route Renters
Transient Renters,Midlife Renters
Aspiring Homemakers,Primary Ambitions
Transient Renters,Midlife Renters
Transient Renters,Renting Rooms
Transient Renters,Midlife Renters
Suburban Stability,Dependable Me
Senior Security,Bungalow Haven
Senior Security,Bungalow Haven
Senior Security,Bungalow Haven
